1764,2021-10-11T15:08:51+0000;0444,T699a,H6534;0445,T6985,H630d;0544,T6983,H5c15;0545,T6987,H62f8;0644,T692c,H66e3;0645,T6967,H65da;0744,T6971,H5a08;0745,T697a,H6676
1941,2021-10-11T15:55:20+0000;0444,T646f,H7454;0445,T647f,H71af;0544,T6486,H696d;0545,T648b,H715f;0644,T6484,H7425;0645,T64b3,H734c;0744,T6482,H66e3;0745,T6490,H7457
1942,2021-10-11T15:55:36+0000;0444,T646a,H745a;0445,T647b,H71bb;0544,T6486,H6976;0545,T6488,H7163;0644,T6482,H742b;0645,T64b2,H734f;0744,T647f,H66ec;0745,T648d,H7462
1943,2021-10-11T15:55:52+0000;0444,T646b,H7458;0445,T6478,H71bf;0544,T6484,H6971;0545,T6485,H716b;0644,T6482,H7430;0645,T64b1,H735c;0744,T647d,H66eb;0745,T648c,H7463
1944,2021-10-11T15:56:07+0000;0444,T6467,H7465;0445,T6476,H71c6;0544,T6482,H6978;0545,T6486,H7175;0644,T647e,H7433;0645,T64ac,H7358;0744,T647b,H66f3;0745,T648a,H7469
1945,2021-10-11T15:56:23+0000;0444,T6464,H746d;0445,T6474,H71cf;0544,T647f,H6982;0545,T6483,H7176;0644,T647d,H7437;0645,T64ab,H7361;0744,T647a,H66f8;0745,T6487,H7472
1946,2021-10-11T15:56:39+0000;0444,T6463,H7475;0445,T6470,H71d3;0544,T647b,H6983;0545,T6481,H717c;0644,T6478,H743e;0645,T64aa,H7361;0744,T6478,H6700;0745,T6485,H7471
1947,2021-10-11T15:56:55+0000;0444,T6461,H7470;0445,T646e,H71d3;0544,T6479,H698e;0545,T647d,H7185;0644,T6479,H7448;0645,T64a8,H736e;0744,T6477,H6701;0745,T6482,H7476
1948,2021-10-11T15:57:10+0000;0444,T645d,H7481;0445,T646e,H71d9;0544,T6478,H698f;0545,T647a,H7189;0644,T6476,H7447;0645,T64a4,H7372;0744,T6475,H6703;0745,T647d,H7476
1949,2021-10-11T15:57:26+0000;0444,T645e,H7478;0445,T646c,H71e4;0544,T6476,H6995;0545,T647c,H7193;0644,T6475,H744c;0645,T64a2,H7370;0744,T6472,H6710;0745,T647d,H7484
1950,2021-10-11T15:57:42+0000;0444,T645b,H7483;0445,T646a,H71e8;0544,T6474,H6997;0545,T6477,H7191;0644,T6471,H7453;0645,T64a2,H7375;0744,T646f,H6713;0745,T647c,H7487
1951,2021-10-11T15:57:58+0000;0444,T6458,H748d;0445,T6469,H71e4;0544,T6472,H699a;0545,T6478,H7197;0644,T6470,H7454;0645,T64a0,H737f;0744,T646d,H6710;0745,T647b,H7491
1952,2021-10-11T15:58:14+0000;0444,T6457,H7496;0445,T6465,H71ef;0544,T6470,H69a3;0545,T6475,H719e;0644,T646e,H7455;0645,T64a0,H7382;0744,T646d,H6719;0745,T6477,H7499
1953,2021-10-11T15:58:29+0000;0444,T6457,H7499;0445,T6464,H71fb;0544,T646f,H69aa;0545,T6472,H71a2;0644,T646c,H7462;0645,T649d,H7388;0744,T646b,H671f;0745,T6476,H7498
1954,2021-10-11T15:58:45+0000;0444,T6451,H749d;0445,T6462,H71fb;0544,T646d,H69af;0545,T6470,H71a3;0644,T646a,H7464;0645,T649a,H738e;0744,T6468,H671d;0745,T6475,H7497
1955,2021-10-11T15:59:01+0000;0444,T6452,H74a1;0445,T6460,H71ff;0544,T6469,H69ac;0545,T646f,H71ad;0644,T6469,H7468;0645,T6497,H7394;0744,T6464,H6723;0745,T6472,H74a1
1956,2021-10-11T15:59:17+0000;0444,T644d,H74a5;0445,T645c,H71fd;0544,T646a,H69b4;0545,T646b,H71b0;0644,T6468,H7470;0645,T6497,H7397;0744,T6464,H672c;0745,T6471,H74ab
1957,2021-10-11T15:59:32+0000;0444,T644d,H74ae;0445,T645b,H7210;0544,T6465,H69b8;0545,T6468,H71bd;0644,T6464,H7470;0645,T6495,H739b;0744,T6463,H6730;0745,T646f,H74a8
1958,2021-10-11T15:59:48+0000;0444,T644a,H74b2;0445,T645b,H7207;0544,T6466,H69c0;0545,T646a,H71bd;0644,T6464,H747b;0645,T6491,H739c;0744,T6460,H6733;0745,T646b,H74ae
1959,2021-10-11T16:00:04+0000;0444,T6447,H74b4;0445,T6456,H7213;0544,T6462,H69c0;0545,T6466,H71bf;0644,T6461,H747c;0645,T6492,H739f;0744,T645f,H6736;0745,T646c,H74b6
1960,2021-10-11T16:00:20+0000;0444,T6447,H74bb;0445,T6455,H721a;0544,T6463,H69c2;0545,T6463,H71be;0644,T6460,H7482;0645,T648f,H73a8;0744,T645d,H673d;0745,T6468,H74bd
1961,2021-10-11T16:00:35+0000;0444,T6445,H74c0;0445,T6455,H721a;0544,T645f,H69c9;0545,T6462,H71ca;0644,T645f,H7481;0645,T648e,H73a4;0744,T645d,H673d;0745,T6465,H74c5
1962,2021-10-11T16:00:51+0000;0444,T6443,H74c8;0445,T6450,H7224;0544,T645e,H69d3;0545,T6460,H71d3;0644,T645c,H7489;0645,T648b,H73af;0744,T6459,H6747;0745,T6462,H74c6
1963,2021-10-11T16:01:07+0000;0444,T6440,H74c3;0445,T6450,H7227;0544,T645a,H69d5;0545,T645d,H71d7;0644,T6458,H7491;0645,T648a,H73b7;0744,T6457,H674d;0745,T6462,H74c9
1964,2021-10-11T16:01:23+0000;0444,T643f,H74cc;0445,T644e,H722f;0544,T6459,H69d5;0545,T645b,H71db;0644,T6458,H7492;0645,T648a,H73ba;0744,T6456,H6753;0745,T6461,H74d2
1965,2021-10-11T16:01:38+0000;0444,T643f,H74d4;0445,T644d,H7231;0544,T6456,H69d6;0545,T645a,H71e5;0644,T6456,H7499;0645,T6487,H73bc;0744,T6453,H6753;0745,T645e,H74d3
1966,2021-10-11T16:01:54+0000;0444,T643b,H74d6;0445,T644b,H7233;0544,T6453,H69e0;0545,T6458,H71df;0644,T6454,H749d;0645,T6485,H73b9;0744,T644f,H6756;0745,T645c,H74da
1967,2021-10-11T16:02:10+0000;0444,T643a,H74dc;0445,T6449,H7234;0544,T6452,H69e4;0545,T6454,H71e7;0644,T6454,H74a6;0645,T6484,H73be;0744,T644f,H6762;0745,T645a,H74e0
1968,2021-10-11T16:02:26+0000;0444,T6437,H74e5;0445,T6448,H7239;0544,T6450,H69eb;0545,T6455,H71eb;0644,T6451,H74a6;0645,T6481,H73c7;0744,T644f,H6764;0745,T6459,H74e9
1969,2021-10-11T16:02:41+0000;0444,T6435,H74ea;0445,T6442,H7242;0544,T6451,H69eb;0545,T6450,H71f2;0644,T644d,H74ae;0645,T647f,H73d1;0744,T644b,H6765;0745,T6456,H74e8
1970,2021-10-11T16:02:57+0000;0444,T6433,H74ed;0445,T6442,H7244;0544,T644c,H69ee;0545,T6452,H71f9;0644,T644e,H74a9;0645,T647d,H73cc;0744,T6449,H6765;0745,T6453,H74e9
1971,2021-10-11T16:03:13+0000;0444,T6431,H74f3;0445,T643f,H724a;0544,T644d,H69f5;0545,T644e,H71fb;0644,T644d,H74ac;0645,T6479,H73d2;0744,T6448,H676c;0745,T6453,H74f4
1972,2021-10-11T16:03:29+0000;0444,T6430,H74f3;0445,T6440,H7253;0544,T644b,H69f7;0545,T644b,H71fe;0644,T644a,H74b1;0645,T647a,H73d4;0744,T6446,H676c;0745,T644f,H74fb
1973,2021-10-11T16:03:44+0000;0444,T6431,H74f9;0445,T643e,H7252;0544,T6449,H69ff;0545,T644b,H7208;0644,T6449,H74b9;0645,T6479,H73db;0744,T6447,H6772;0745,T644e,H74f9
1974,2021-10-11T16:04:00+0000;0444,T642b,H74fb;0445,T643d,H7251;0544,T6447,H6a07;0545,T6449,H720d;0644,T6446,H74bb;0645,T6475,H73d8;0744,T6445,H677a;0745,T644f,H74fd
1975,2021-10-11T16:04:16+0000;0444,T642a,H74fe;0445,T643c,H725b;0544,T6444,H6a0b;0545,T6447,H720f;0644,T6445,H74c4;0645,T6475,H73df;0744,T6440,H6777;0745,T644b,H7501
1976,2021-10-11T16:04:32+0000;0444,T6428,H7509;0445,T6438,H725b;0544,T6444,H6a0e;0545,T6446,H720e;0644,T6443,H74c3;0645,T6472,H73e0;0744,T643f,H677f;0745,T644b,H7509
1977,2021-10-11T16:04:48+0000;0444,T6425,H7504;0445,T6435,H7261;0544,T6440,H6a10;0545,T6445,H7213;0644,T6442,H74ce;0645,T6473,H73ed;0744,T643d,H6784;0745,T6447,H7512
1978,2021-10-11T16:05:03+0000;0444,T6424,H7514;0445,T6439,H7268;0544,T643f,H6a15;0545,T6441,H721a;0644,T643f,H74d3;0645,T646f,H73e8;0744,T643c,H678a;0745,T6447,H750f
1979,2021-10-11T16:05:19+0000;0444,T6423,H7514;0445,T6433,H726a;0544,T643d,H6a14;0545,T643f,H721e;0644,T643e,H74d8;0645,T646f,H73ee;0744,T6439,H6788;0745,T6445,H7514
1980,2021-10-11T16:05:35+0000;0444,T6420,H7517;0445,T6430,H726e;0544,T643a,H6a21;0545,T6440,H7221;0644,T643c,H74d4;0645,T646d,H73f4;0744,T6437,H6789;0745,T6444,H7518
1981,2021-10-11T16:05:51+0000;0444,T6421,H751a;0445,T642f,H7273;0544,T643b,H6a21;0545,T643e,H7228;0644,T643b,H74df;0645,T646c,H73f3;0744,T6437,H678d;0745,T6440,H751f
1982,2021-10-11T16:06:06+0000;0444,T641c,H7522;0445,T642e,H727b;0544,T6439,H6a26;0545,T643b,H722b;0644,T643a,H74e2;0645,T646c,H73f9;0744,T6434,H678c;0745,T643f,H7520
1983,2021-10-11T16:06:22+0000;0444,T641c,H752c;0445,T642c,H727a;0544,T6438,H6a28;0545,T6438,H7227;0644,T6437,H74e3;0645,T646c,H73fe;0744,T6435,H679b;0745,T643c,H7528
1984,2021-10-11T16:06:38+0000;0444,T641c,H7529;0445,T642b,H727f;0544,T6435,H6a31;0545,T6439,H7232;0644,T6436,H74e7;0645,T6469,H7404;0744,T6431,H679c;0745,T643b,H7523
1985,2021-10-11T16:06:54+0000;0444,T6419,H7525;0445,T642a,H7281;0544,T6432,H6a34;0545,T6435,H7236;0644,T6434,H74ed;0645,T6467,H73ff;0744,T6430,H67a0;0745,T643b,H752e
1986,2021-10-11T16:07:09+0000;0444,T6417,H7533;0445,T6426,H7284;0544,T6431,H6a35;0545,T6434,H723b;0644,T6433,H74f4;0645,T6464,H7406;0744,T642f,H67a1;0745,T6438,H7533
1987,2021-10-11T16:07:25+0000;0444,T6415,H753c;0445,T6426,H728b;0544,T6431,H6a3a;0545,T6432,H723b;0644,T6432,H74f2;0645,T6464,H740a;0744,T642b,H67a1;0745,T6436,H7539
1988,2021-10-11T16:07:41+0000;0444,T6414,H7539;0445,T6424,H7291;0544,T642e,H6a3b;0545,T6430,H7241;0644,T642e,H74f9;0645,T6461,H7408;0744,T642d,H67a8;0745,T6433,H7538
1989,2021-10-11T16:07:57+0000;0444,T6410,H7538;0445,T6421,H728c;0544,T642d,H6a3f;0545,T6430,H7243;0644,T642f,H74fa;0645,T6461,H740c;0744,T6429,H67a9;0745,T6433,H753b
1990,2021-10-11T16:08:12+0000;0444,T6411,H753d;0445,T6420,H7299;0544,T642a,H6a45;0545,T642d,H7243;0644,T642c,H74ff;0645,T645f,H7410;0744,T6427,H67b1;0745,T6431,H753d
1991,2021-10-11T16:08:28+0000;0444,T640f,H7547;0445,T641d,H729a;0544,T6428,H6a4d;0545,T642f,H724f;0644,T6429,H7505;0645,T645c,H740d;0744,T6426,H67b1;0745,T6430,H7544
1992,2021-10-11T16:08:44+0000;0444,T640d,H7549;0445,T641d,H72a0;0544,T6428,H6a4b;0545,T642c,H7253;0644,T6429,H7505;0645,T645d,H7419;0744,T6425,H67b3;0745,T642c,H7544
1993,2021-10-11T16:09:00+0000;0444,T640b,H7550;0445,T641c,H72a2;0544,T6425,H6a52;0545,T642c,H7252;0644,T6428,H750a;0645,T645b,H741c;0744,T6425,H67bc;0745,T642e,H754c
1994,2021-10-11T16:09:15+0000;0444,T640a,H754a;0445,T641a,H72a9;0544,T6423,H6a52;0545,T6429,H725a;0644,T6427,H750d;0645,T6459,H7420;0744,T6421,H67b5;0745,T642b,H7551
1995,2021-10-11T16:09:31+0000;0444,T6407,H7556;0445,T6418,H72aa;0544,T6422,H6a5f;0545,T6426,H725d;0644,T6425,H7512;0645,T6458,H7424;0744,T6420,H67c3;0745,T642b,H7551
1996,2021-10-11T16:09:47+0000;0444,T6407,H755d;0445,T6416,H72a9;0544,T6421,H6a58;0545,T6426,H7261;0644,T6424,H7512;0645,T6455,H7425;0744,T6421,H67c3;0745,T6429,H7555
1997,2021-10-11T16:10:03+0000;0444,T6404,H755d;0445,T6417,H72b1;0544,T641e,H6a5a;0545,T6423,H7266;0644,T641f,H751e;0645,T6456,H742b;0744,T641f,H67cd;0745,T6428,H755a
1998,2021-10-11T16:10:18+0000;0444,T6402,H7564;0445,T6416,H72b6;0544,T6420,H6a66;0545,T6422,H7265;0644,T6420,H751f;0645,T6455,H7429;0744,T641a,H67ce;0745,T6426,H755a
1999,2021-10-11T16:10:34+0000;0444,T63ff,H7565;0445,T6410,H72ba;0544,T641e,H6a67;0545,T641f,H7269;0644,T641f,H751f;0645,T6453,H7432;0744,T641a,H67c7;0745,T6423,H755f
2000,2021-10-11T16:10:51+0000;0444,T6400,H7569;0445,T6411,H72b7;0544,T641c,H6a65;0545,T6420,H7270;0644,T641d,H7520;0645,T6452,H742a;0744,T6418,H67cd;0745,T6423,H7563
2001,2021-10-11T16:11:06+0000;0444,T63ff,H7566;0445,T6411,H72c0;0544,T641b,H6a67;0545,T641d,H726e;0644,T641c,H7522;0645,T6451,H7431;0744,T6416,H67d8;0745,T6420,H7564
2002,2021-10-11T16:11:22+0000;0444,T63fb,H756e;0445,T640e,H72c0;0544,T641a,H6a73;0545,T641c,H7273;0644,T641a,H752a;0645,T6450,H7433;0744,T6415,H67d6;0745,T6420,H756a
2003,2021-10-11T16:11:37+0000;0444,T63fb,H7572;0445,T640f,H72c9;0544,T6419,H6a72;0545,T641b,H7276;0644,T6419,H752c;0645,T644e,H7439;0744,T6416,H67d8;0745,T641d,H7572
2004,2021-10-11T16:11:53+0000;0444,T63fa,H757a;0445,T640a,H72c7;0544,T6417,H6a75;0545,T6418,H7277;0644,T6416,H7527;0645,T644d,H743a;0744,T6414,H67d9;0745,T641d,H756f
2005,2021-10-11T16:12:09+0000;0444,T63f8,H7577;0445,T640b,H72d4;0544,T6414,H6a76;0545,T6419,H727c;0644,T6415,H7533;0645,T6449,H743d;0744,T6412,H67df;0745,T641b,H7576
2006,2021-10-11T16:12:25+0000;0444,T63f7,H7582;0445,T6408,H72d3;0544,T6414,H6a7d;0545,T6415,H727d;0644,T6416,H7534;0645,T6447,H743d;0744,T6410,H67df;0745,T6419,H7576
2007,2021-10-11T16:12:40+0000;0444,T63f4,H757d;0445,T6409,H72d9;0544,T6414,H6a85;0545,T6415,H7284;0644,T6415,H7536;0645,T6448,H743f;0744,T640f,H67e2;0745,T6418,H7571
2008,2021-10-11T16:12:56+0000;0444,T63f4,H7587;0445,T6404,H72d6;0544,T6411,H6a81;0545,T6413,H7288;0644,T6412,H7537;0645,T6447,H7446;0744,T640d,H67e5;0745,T6417,H757e
2009,2021-10-11T16:13:12+0000;0444,T63f2,H7588;0445,T6404,H72da;0544,T640e,H6a85;0545,T6412,H728d;0644,T6411,H753e;0645,T6445,H7441;0744,T640d,H67e8;0745,T6417,H7580
2010,2021-10-11T16:13:28+0000;0444,T63ef,H758d;0445,T6403,H72e1;0544,T640c,H6a8c;0545,T6411,H728c;0644,T6411,H7540;0645,T6444,H7449;0744,T6409,H67ed;0745,T6416,H7584
2011,2021-10-11T16:13:43+0000;0444,T63ef,H7595;0445,T63ff,H72df;0544,T640c,H6a8f;0545,T6410,H7290;0644,T640e,H7546;0645,T6442,H7455;0744,T6408,H67ed;0745,T6416,H7583
2012,2021-10-11T16:13:59+0000;0444,T63eb,H7595;0445,T6401,H72e1;0544,T6409,H6a8d;0545,T640e,H729a;0644,T640c,H7545;0645,T6440,H744e;0744,T6408,H67f0;0745,T6413,H758d
2013,2021-10-11T16:14:15+0000;0444,T63ef,H7599;0445,T6400,H72f0;0544,T640a,H6a92;0545,T640d,H729b;0644,T640a,H7549;0645,T6442,H7454;0744,T6409,H67f2;0745,T6410,H7587
2014,2021-10-11T16:14:31+0000;0444,T63e9,H759e;0445,T63fe,H72ee;0544,T640a,H6a90;0545,T640c,H729a;0644,T640b,H754d;0645,T643e,H7457;0744,T6406,H67f7;0745,T6410,H758f
2015,2021-10-11T16:14:46+0000;0444,T63eb,H759f;0445,T63fa,H72f1;0544,T6408,H6a97;0545,T640a,H729e;0644,T640a,H7551;0645,T643c,H745e;0744,T6402,H67ff;0745,T640b,H758f
2016,2021-10-11T16:15:02+0000;0444,T63e5,H75a3;0445,T63fa,H72f0;0544,T6405,H6a9a;0545,T6408,H729f;0644,T6408,H7551;0645,T643d,H745b;0744,T6402,H6800;0745,T640c,H7592
2017,2021-10-11T16:15:18+0000;0444,T63e9,H75aa;0445,T63f8,H72f8;0544,T6403,H6a94;0545,T6407,H72a3;0644,T6409,H7558;0645,T643c,H7460;0744,T6403,H6801;0745,T6409,H759a
2018,2021-10-11T16:15:34+0000;0444,T63e6,H75a9;0445,T63f7,H72f5;0544,T6404,H6a9d;0545,T6407,H72ab;0644,T6404,H7555;0645,T6439,H7463;0744,T63ff,H6801;0745,T640b,H7597
2019,2021-10-11T16:15:49+0000;0444,T63e5,H75ae;0445,T63f6,H72fa;0544,T6400,H6a9e;0545,T6404,H72aa;0644,T6406,H755c;0645,T6436,H7466;0744,T63ff,H680c;0745,T640a,H759d
2020,2021-10-11T16:16:05+0000;0444,T63e1,H75af;0445,T63f6,H72fc;0544,T6400,H6aa0;0545,T6405,H72ae;0644,T6402,H755f;0645,T6438,H7468;0744,T63fe,H6806;0745,T6407,H75a6
2021,2021-10-11T16:16:21+0000;0444,T63e2,H75ac;0445,T63f3,H72fc;0544,T63fe,H6aa4;0545,T6402,H72ad;0644,T6403,H7559;0645,T6438,H7467;0744,T63fc,H6809;0745,T6405,H75a2
2022,2021-10-11T16:16:37+0000;0444,T63e1,H75b4;0445,T63f2,H7309;0544,T63fd,H6ab1;0545,T63ff,H72b8;0644,T6400,H755c;0645,T6435,H746d;0744,T63f9,H6810;0745,T6403,H75a7
2023,2021-10-11T16:16:52+0000;0444,T63dc,H75b9;0445,T63f0,H730b;0544,T63fc,H6aaf;0545,T6402,H72b7;0644,T6401,H7566;0645,T6432,H7470;0744,T63f9,H6810;0745,T6405,H75a8
2024,2021-10-11T16:17:08+0000;0444,T63de,H75b5;0445,T63ee,H730e;0544,T63fa,H6aab;0545,T63fe,H72b6;0644,T6400,H7564;0645,T6430,H746f;0744,T63f7,H6810;0745,T6402,H75a8
2025,2021-10-11T16:17:24+0000;0444,T63da,H75ba;0445,T63ed,H730f;0544,T63fb,H6ab4;0545,T6400,H72bf;0644,T6400,H7563;0645,T6432,H7475;0744,T63f7,H6815;0745,T6400,H75a9
2026,2021-10-11T16:17:40+0000;0444,T63dc,H75c0;0445,T63ec,H7310;0544,T63f9,H6ab5;0545,T63fb,H72c2;0644,T63fc,H756a;0645,T6431,H7472;0744,T63f5,H6815;0745,T63ff,H75b3
2027,2021-10-11T16:17:56+0000;0444,T63db,H75c5;0445,T63eb,H7312;0544,T63f8,H6aba;0545,T63f8,H72c5;0644,T63fb,H756f;0645,T642e,H7477;0744,T63f5,H681b;0745,T63ff,H75b2
2028,2021-10-11T16:18:11+0000;0444,T63d9,H75ca;0445,T63ea,H7314;0544,T63f6,H6ab8;0545,T63f8,H72c7;0644,T63fc,H756f;0645,T642d,H7478;0744,T63f4,H681b;0745,T63fc,H75ad
2029,2021-10-11T16:18:27+0000;0444,T63d9,H75ca;0445,T63ea,H731a;0544,T63f6,H6ab8;0545,T63f9,H72ca;0644,T63f9,H756d;0645,T642d,H747e;0744,T63f3,H681a;0745,T63fc,H75b0
2030,2021-10-11T16:18:43+0000;0444,T63d7,H75cb;0445,T63e8,H731d;0544,T63f5,H6ac6;0545,T63f9,H72cd;0644,T63f7,H7574;0645,T642b,H7483;0744,T63ef,H6822;0745,T63fb,H75b5
2031,2021-10-11T16:18:59+0000;0444,T63d5,H75d3;0445,T63ea,H731d;0544,T63f2,H6ac5;0545,T63f3,H72d0;0644,T63f8,H756e;0645,T642a,H747d;0744,T63f2,H6823;0745,T63fa,H75ba
2032,2021-10-11T16:19:14+0000;0444,T63d3,H75ce;0445,T63e6,H731d;0544,T63f1,H6ac3;0545,T63f4,H72cf;0644,T63f7,H7578;0645,T6429,H7481;0744,T63ee,H6829;0745,T63f9,H75b9
2033,2021-10-11T16:19:30+0000;0444,T63d3,H75d6;0445,T63e7,H7323;0544,T63f3,H6acb;0545,T63f2,H72d5;0644,T63f4,H7576;0645,T642b,H7487;0744,T63ef,H6828;0745,T63f9,H75bb
2034,2021-10-11T16:19:46+0000;0444,T63d3,H75d9;0445,T63e4,H732b;0544,T63ef,H6ac9;0545,T63f3,H72db;0644,T63f4,H757b;0645,T6427,H7484;0744,T63eb,H6824;0745,T63f9,H75bc
2035,2021-10-11T16:20:02+0000;0444,T63cf,H75df;0445,T63e1,H732d;0544,T63ef,H6ad5;0545,T63f2,H72df;0644,T63f4,H757d;0645,T6427,H7485;0744,T63e9,H682c;0745,T63f7,H75c5
2036,2021-10-11T16:20:17+0000;0444,T63ce,H75e0;0445,T63e3,H7334;0544,T63ed,H6aca;0545,T63ee,H72db;0644,T63f1,H757f;0645,T6425,H748a;0744,T63eb,H6833;0745,T63f4,H75cb
2037,2021-10-11T16:20:33+0000;0444,T63cf,H75de;0445,T63e0,H732e;0544,T63ea,H6ac9;0545,T63ee,H72de;0644,T63f0,H7585;0645,T6424,H748b;0744,T63e9,H682e;0745,T63f2,H75c7
2038,2021-10-11T16:20:49+0000;0444,T63cb,H75de;0445,T63de,H7330;0544,T63eb,H6ad3;0545,T63ee,H72e5;0644,T63f1,H7586;0645,T6423,H748c;0744,T63e7,H6837;0745,T63f3,H75c7
2039,2021-10-11T16:21:05+0000;0444,T63ca,H75e3;0445,T63dd,H7337;0544,T63ea,H6ad3;0545,T63ed,H72e4;0644,T63ee,H7584;0645,T6422,H7493;0744,T63e9,H6836;0745,T63f1,H75ce
2040,2021-10-11T16:21:20+0000;0444,T63c9,H75e8;0445,T63dd,H7337;0544,T63e6,H6ad7;0545,T63ed,H72e9;0644,T63ef,H7587;0645,T6422,H7498;0744,T63e5,H6839;0745,T63f2,H75d4
2041,2021-10-11T16:21:36+0000;0444,T63c8,H75e9;0445,T63dc,H7340;0544,T63e7,H6ad8;0545,T63ea,H72ea;0644,T63ee,H7585;0645,T6420,H7495;0744,T63e3,H6835;0745,T63ef,H75d2
2042,2021-10-11T16:21:52+0000;0444,T63c5,H75ee;0445,T63da,H733c;0544,T63e5,H6adb;0545,T63e7,H72ec;0644,T63ec,H758b;0645,T6421,H749c;0744,T63e4,H683e;0745,T63ee,H75d3
2043,2021-10-11T16:22:08+0000;0444,T63c7,H75e8;0445,T63db,H7343;0544,T63e5,H6ae5;0545,T63e7,H72f1;0644,T63eb,H7586;0645,T641d,H749b;0744,T63e2,H6842;0745,T63ec,H75da
2044,2021-10-11T16:22:23+0000;0444,T63c4,H75f3;0445,T63d7,H7343;0544,T63e3,H6add;0545,T63e8,H72f3;0644,T63ea,H758b;0645,T641d,H7499;0744,T63e1,H6844;0745,T63eb,H75de
2045,2021-10-11T16:22:39+0000;0444,T63c3,H75f2;0445,T63d7,H7346;0544,T63e4,H6ae5;0545,T63e7,H72f9;0644,T63e9,H7595;0645,T641d,H74a4;0744,T63e0,H6847;0745,T63ec,H75de
2046,2021-10-11T16:22:55+0000;0444,T63c2,H75f2;0445,T63d7,H7348;0544,T63e1,H6ae9;0545,T63e4,H72f8;0644,T63e8,H7593;0645,T641a,H74a2;0744,T63e1,H6844;0745,T63ea,H75e1
2047,2021-10-11T16:23:11+0000;0444,T63c2,H75fb;0445,T63d4,H734d;0544,T63e3,H6ae3;0545,T63e3,H72f7;0644,T63e6,H7594;0645,T6417,H74a4;0744,T63dd,H6846;0745,T63e9,H75e2
2048,2021-10-11T16:23:27+0000;0444,T63c1,H75ff;0445,T63d6,H7350;0544,T63e0,H6ae7;0545,T63e0,H72fa;0644,T63e6,H7594;0645,T6417,H74ab;0744,T63de,H6849;0745,T63e9,H75e3
2049,2021-10-11T16:23:42+0000;0444,T63c0,H7606;0445,T63d4,H7350;0544,T63de,H6af1;0545,T63e2,H72fb;0644,T63e3,H7594;0645,T641a,H74ac;0744,T63dd,H6852;0745,T63ea,H75df
2050,2021-10-11T16:23:58+0000;0444,T63bf,H7605;0445,T63d4,H7353;0544,T63de,H6af2;0545,T63e1,H7301;0644,T63e3,H759a;0645,T6416,H74b1;0744,T63dc,H684c;0745,T63e6,H75e9
2051,2021-10-11T16:24:14+0000;0444,T63be,H7602;0445,T63d0,H7357;0544,T63dd,H6af0;0545,T63df,H7302;0644,T63e4,H759f;0645,T6416,H74ac;0744,T63da,H6850;0745,T63e4,H75e7
2052,2021-10-11T16:24:30+0000;0444,T63be,H7607;0445,T63d1,H7359;0544,T63dc,H6aef;0545,T63dc,H7304;0644,T63e1,H75a1;0645,T6415,H74ab;0744,T63d7,H684c;0745,T63e2,H75e7
2053,2021-10-11T16:24:45+0000;0444,T63bb,H7609;0445,T63cf,H735a;0544,T63db,H6af7;0545,T63de,H7307;0644,T63e0,H75a0;0645,T6414,H74ab;0744,T63d9,H6855;0745,T63e5,H75e7
2054,2021-10-11T16:25:01+0000;0444,T63bb,H7607;0445,T63ce,H7359;0544,T63d8,H6afd;0545,T63db,H730d;0644,T63e0,H75a5;0645,T6411,H74ac;0744,T63d6,H6852;0745,T63e1,H75ee
2055,2021-10-11T16:25:17+0000;0444,T63b7,H760b;0445,T63cb,H735e;0544,T63d9,H6af2;0545,T63d8,H730a;0644,T63df,H75a7;0645,T6413,H74b9;0744,T63d5,H6859;0745,T63e2,H75ef
2056,2021-10-11T16:25:33+0000;0444,T63b7,H7611;0445,T63cb,H7360;0544,T63d5,H6af5;0545,T63d9,H7312;0644,T63dc,H75a2;0645,T6410,H74b2;0744,T63d6,H685a;0745,T63e0,H75f2
2057,2021-10-11T16:25:48+0000;0444,T63b9,H760d;0445,T63cc,H7361;0544,T63d6,H6af8;0545,T63d7,H7311;0644,T63dd,H75a6;0645,T6410,H74ba;0744,T63d4,H6857;0745,T63de,H75f3
2058,2021-10-11T16:26:04+0000;0444,T63b4,H7611;0445,T63ca,H7367;0544,T63d8,H6b01;0545,T63d9,H730d;0644,T63db,H75a5;0645,T640e,H74b8;0744,T63d3,H6860;0745,T63de,H75f4
2059,2021-10-11T16:26:20+0000;0444,T63b5,H7614;0445,T63c8,H7364;0544,T63d5,H6b04;0545,T63d6,H7315;0644,T63da,H75ad;0645,T640c,H74bf;0744,T63d3,H6863;0745,T63e0,H75f6
2060,2021-10-11T16:26:36+0000;0444,T63b5,H7618;0445,T63c7,H7367;0544,T63d4,H6aff;0545,T63d5,H7314;0644,T63d8,H75ae;0645,T640d,H74b9;0744,T63d2,H685e;0745,T63dd,H75fa
2061,2021-10-11T16:26:51+0000;0444,T63b3,H7619;0445,T63c7,H7365;0544,T63d3,H6afd;0545,T63d6,H7318;0644,T63d7,H75ae;0645,T640c,H74b9;0744,T63d2,H6861;0745,T63d9,H75fd
2062,2021-10-11T16:27:07+0000;0444,T63b3,H761a;0445,T63c5,H7369;0544,T63d4,H6b0b;0545,T63d3,H7318;0644,T63d9,H75ad;0645,T640c,H74c2;0744,T63d0,H6866;0745,T63db,H75fe
